read_ts,inverter,battvolt,battcurr,battsoc,battchgpower,linechgcurr,pvchgcurr,battreserve,pv1volt,pv1curr,pv1power,pv2volt,pv2curr,pv2power,pv3volt,pv3curr,pv3power,pvreserve,outvolta,outcurra,outfreq,invcurra,outw_a,outva_a,loadpercenta,normalloadw_a,outvoltb,outcurrb,invcurrb,outw_b,outva_b,loadpercentb,normalloadw_b,outvoltc,outcurrc,invcurrc,outw_c,outva_c,loadpercentc,normalloadw_c,outsumw,outsumva,sumloadpercent,generatedpowerp_a,generatedpowerp_b,generatedpowerp_c,generatedpowers_a,generatedpowers_b,generatedpowers_c,generatedpowerq_a,generatedpowerq_b,generatedpowerq_c,linevolta,linecurra,linefreq,linevoltb,linecurrb,linevoltc,linecurrc,linepowerva_a,linepowerva_b,linepowerva_c,linepowerw_a,linepowerw_b,linepowerw_c,busvoltp,busvoltn,temper1,temper2,temper3,temper4,sir,fanduty,otherreserve,gridpowerw_a,gridpowerw_b,gridpowerw_c,gridcurr_a,gridcurr_b,gridcurr_c,grid_reserve
1754006578,1,51.1,6551.6,60,102,0.0,2.0,"{0,0,0,0,0}",399.3,1.0,399,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",229.9,1.2,49.96,1.9,245,299,5,0,0.0,13.1,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,242,299,5,0,0,0,0,0,0,0,0,0,234.1,0.0,49.95,0.0,0.0,0.0,0.0,0,0,0,0,0,0,400.9,0.0,35.0,40.6,53.8,120.0,0,0,"{0,0,0,0,0}",59,0,0,1.4,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1754006578,2,53.1,23.2,84,0,0.0,0.0,"{0,0,0,0,0}",244.9,0.7,176,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",229.9,6.1,49.96,5.7,1324,1401,25,0,0.0,2.6,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1348,1429,25,0,0,0,0,0,0,0,0,0,234.3,0.0,49.95,0.0,0.0,0.0,0.0,0,0,0,0,0,0,393.9,0.0,31.9,43.6,50.4,120.0,0,0,"{0,0,0,0,0}",55,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1754006898,1,51.8,6541.4,61,631,0.0,12.2,"{0,0,0,0,0}",403.6,2.4,968,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",229.9,1.2,49.97,1.9,247,299,5,0,0.0,14.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,241,276,5,0,0,0,0,0,0,0,0,0,234.0,0.0,49.99,0.0,0.0,0.0,0.0,0,0,0,0,0,0,404.6,0.0,33.3,41.2,51.9,120.0,0,0,"{0,0,0,0,0}",56,0,0,1.4,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1754006898,2,53.1,21.7,82,0,0.0,0.0,"{0,0,0,0,0}",303.9,0.7,208,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",230.0,6.1,49.97,5.7,1337,1426,25,0,0.0,2.4,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1316,1403,25,0,0,0,0,0,0,0,0,0,234.3,0.0,49.99,0.0,0.0,0.0,0.0,0,0,0,0,0,0,394.2,0.0,31.9,43.3,49.9,120.0,0,0,"{0,0,0,0,0}",55,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1754007220,1,52.3,6539.1,61,747,0.0,14.3,"{0,0,0,0,0}",402.7,2.8,1116,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",229.9,1.2,50.01,1.9,243,299,5,0,0.0,14.2,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,250,299,5,0,0,0,0,0,0,0,0,0,233.1,0.0,49.98,0.0,0.0,0.0,0.0,0,0,0,0,0,0,405.8,0.0,33.2,40.8,50.7,120.0,0,0,"{0,0,0,0,0}",57,0,0,1.4,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1754007220,2,53.4,6547.7,81,315,0.0,5.8,"{0,0,0,0,0}",304.6,1.0,300,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",,0.2,50.01,1.2,29,46,0,0,0.0,1.6,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,30,45,0,0,0,0,0,0,0,0,0,0,233.2,0.0,49.98,0.0,0.0,0.0,0.0,0,0,0,0,0,0,403.5,0.0,33.5,41.4,49.4,120.0,0,0,"{0,0,0,0,0}",55,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1754007541,1,52.0,6550.8,62,145,0.0,2.8,"{0,0,0,0,0}",402.3,1.1,442,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",229.9,1.2,50.02,1.9,245,299,5,0,0.0,14.6,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,240,298,5,0,0,0,0,0,0,0,0,0,233.7,0.0,50.02,0.0,0.0,0.0,0.0,0,0,0,0,0,0,403.7,0.0,33.5,39.5,50.7,120.0,0,0,"{0,0,0,0,0}",56,0,0,1.4,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1754007541,2,53.2,21.2,81,0,0.0,0.0,"{0,0,0,0,0}",271.2,0.9,254,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",230.1,6.1,50.02,5.6,1341,1426,25,0,0.0,3.1,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1335,1426,25,0,0,0,0,0,0,0,0,0,233.9,0.0,50.02,0.0,0.0,0.0,0.0,0,0,0,0,0,0,394.9,0.0,34.5,43.8,51.4,120.0,0,0,"{0,0,0,0,0}",54,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1754007862,1,51.8,1.3,62,0,0.0,0.0,"{0,0,0,0,0}",399.9,0.7,280,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",229.9,1.2,50.02,1.9,250,299,5,0,0.0,12.2,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,245,299,5,0,0,0,0,0,0,0,0,0,233.3,0.0,50.02,0.0,0.0,0.0,0.0,0,0,0,0,0,0,401.5,0.0,36.6,42.0,54.6,120.0,0,0,"{0,0,0,0,0}",58,0,0,1.4,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1754007862,2,53.1,22.5,80,0,0.0,0.0,"{0,0,0,0,0}",224.4,0.8,187,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",229.9,6.1,50.02,5.7,1357,1425,25,0,0.0,2.6,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1338,1402,25,0,0,0,0,0,0,0,0,0,233.5,0.0,50.02,0.0,0.0,0.0,0.0,0,0,0,0,0,0,394.0,0.0,32.1,43.9,50.7,120.0,0,0,"{0,0,0,0,0}",54,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
