read_ts,inverter,battvolt,battcurr,battsoc,battchgpower,linechgcurr,pvchgcurr,battreserve,pv1volt,pv1curr,pv1power,pv2volt,pv2curr,pv2power,pv3volt,pv3curr,pv3power,pvreserve,outvolta,outcurra,outfreq,invcurra,outw_a,outva_a,loadpercenta,normalloadw_a,outvoltb,outcurrb,invcurrb,outw_b,outva_b,loadpercentb,normalloadw_b,outvoltc,outcurrc,invcurrc,outw_c,outva_c,loadpercentc,normalloadw_c,outsumw,outsumva,sumloadpercent,generatedpowerp_a,generatedpowerp_b,generatedpowerp_c,generatedpowers_a,generatedpowers_b,generatedpowers_c,generatedpowerq_a,generatedpowerq_b,generatedpowerq_c,linevolta,linecurra,linefreq,linevoltb,linecurrb,linevoltc,linecurrc,linepowerva_a,linepowerva_b,linepowerva_c,linepowerw_a,linepowerw_b,linepowerw_c,busvoltp,busvoltn,temper1,temper2,temper3,temper4,sir,fanduty,otherreserve,gridpowerw_a,gridpowerw_b,gridpowerw_c,gridcurr_a,gridcurr_b,gridcurr_c,grid_reserve
1756456165,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756456165,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756458670,1,53.2,2.5,58,0,0.0,0.0,"{0,0,0,0,0}",256.2,0.5,135,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",229.9,0.9,49.97,1.7,168,207,3,0,0.0,0.9,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,192,229,3,0,0,0,0,0,0,0,0,0,233.0,0.0,49.97,0.0,0.0,0.0,0.0,0,0,0,0,0,0,424.2,0.0,35.9,42.3,46.6,120.0,0,0,"{0,0,0,0,0}",88,0,0,0.5,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1756458670,2,53.0,19.5,79,0,0.0,0.0,"{0,0,0,0,0}",190.0,2.2,408,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",230.0,6.4,49.97,6.1,1447,1495,26,0,0.0,3.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1447,1495,26,0,0,0,0,0,0,0,0,0,233.9,0.0,49.97,0.0,0.0,0.0,0.0,0,0,0,0,0,0,394.6,0.0,37.2,46.9,53.5,120.0,0,0,"{0,0,0,0,0}",54,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1756458781,1,53.1,1.7,58,0,0.0,0.0,"{0,0,0,0,0}",273.0,0.5,132,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",229.9,0.8,50.03,1.7,138,184,2,0,0.0,0.7,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,129,184,2,0,0,0,0,0,0,0,0,0,233.2,0.0,50.02,0.0,0.0,0.0,0.0,0,0,0,0,0,0,424.6,0.0,36.5,42.3,49.4,120.0,0,0,"{0,0,0,0,0}",88,0,0,0.5,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1756458781,2,53.0,20.4,79,0,0.0,0.0,"{0,0,0,0,0}",184.5,2.0,367,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",230.0,6.4,50.03,6.1,1426,1495,26,0,0.0,3.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1442,1495,26,0,0,0,0,0,0,0,0,0,234.2,0.0,50.02,0.0,0.0,0.0,0.0,0,0,0,0,0,0,394.6,0.0,37.7,46.8,53.5,120.0,0,0,"{0,0,0,0,0}",55,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1756458894,1,53.1,1.7,58,0,0.0,0.0,"{0,0,0,0,0}",253.8,0.5,135,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",229.9,0.8,50.02,1.7,121,184,2,0,0.0,0.7,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,124,184,2,0,0,0,0,0,0,0,0,0,233.4,0.0,50.03,0.0,0.0,0.0,0.0,0,0,0,0,0,0,424.6,0.0,38.4,43.8,50.9,120.0,0,0,"{0,0,0,0,0}",87,0,0,0.5,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1756458894,2,53.0,20.2,79,0,0.0,0.0,"{0,0,0,0,0}",190.1,1.9,373,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",230.0,6.4,50.02,6.1,1421,1495,26,0,0.0,2.8,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1452,1495,27,0,0,0,0,0,0,0,0,0,234.4,0.0,50.03,0.0,,0.0,0.0,0,0,0,0,0,0,394.5,0.0,37.9,46.7,53.3,120.0,0,0,"{0,0,0,0,0}",55,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1756459007,1,53.1,1.5,58,0,0.0,0.0,"{0,0,0,0,0}",285.8,0.5,142,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",229.8,0.8,50.02,1.7,124,183,2,0,0.0,0.7,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,124,184,2,0,0,0,0,0,0,0,0,0,233.0,0.0,50.02,0.0,0.0,0.0,0.0,0,0,0,0,0,0,424.3,0.0,40.4,45.0,51.5,120.0,0,0,"{0,0,0,0,0}",88,0,0,0.5,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
1756459007,2,53.0,22.3,78,0,0.0,0.0,"{0,0,0,0,0}",190.0,1.5,292,0.0,0.0,0,0.0,0.0,0,"{0,0,0,0}",230.0,6.4,50.02,6.1,1419,1494,26,0,0.0,2.8,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1422,1472,26,0,0,0,0,0,0,0,0,0,234.1,0.0,50.02,0.0,0.0,0.0,0.0,0,0,0,0,0,0,394.1,0.0,37.9,46.8,53.4,120.0,0,0,"{0,0,0,0,0}",56,0,0,0.8,0.0,0.0,"{0,0,0,0,0,0,0,0,0,0}"
