read_ts,inverter,battvolt,battcurr,battsoc,battchgpower,linechgcurr,pvchgcurr,pv1volt,pv1curr,pv1power,pv2volt,pv2curr,pv2power,pv3volt,pv3curr,pv3power,outvolta,outcurra,outfreq,invcurra,outw_a,outva_a,loadpercenta,normalloadw_a,outvoltb,outcurrb,invcurrb,outw_b,outva_b,loadpercentb,normalloadw_b,outvoltc,outcurrc,invcurrc,outw_c,outva_c,loadpercentc,normalloadw_c,outsumw,outsumva,sumloadpercent,generatedpowerp_a,generatedpowerp_b,generatedpowerp_c,generatedpowers_a,generatedpowers_b,generatedpowers_c,generatedpowerq_a,generatedpowerq_b,generatedpowerq_c,linevolta,linecurra,linefreq,linevoltb,linecurrb,linevoltc,linecurrc,linepowerva_a,linepowerva_b,linepowerva_c,linepowerw_a,linepowerw_b,linepowerw_c,busvoltp,busvoltn,temper1,temper2,temper3,temper4,sir,fanduty,gridpowerw_a,gridpowerw_b,gridpowerw_c,gridcurr_a,gridcurr_b,gridcurr_c
1775001611,1,53.3,1.7,97,0,0.0,0.0,263.6,0.9,242,,,,,,,229.9,1.5,50.03,2.2,285,345,5,0,,,,,,,,,,,,,,,277,345,5,0,,,0,,,0,,,233.7,0.0,50.03,,,,,0,,,0,,,425.9,0.0,38.4,44.1,52.2,120.0,0,0,89,,,0.5,,
1775001624,1,53.3,1.6,97,0,0.0,0.0,264.1,0.9,241,,,,,,,230.0,1.4,50.03,2.1,271,345,5,0,,,,,,,,,,,,,,,279,345,5,0,,,0,,,0,,,233.9,0.0,50.03,,,,,0,,,0,,,425.9,0.0,38.4,44.1,52.2,120.0,0,0,88,,,0.5,,
1775001636,1,53.3,1.5,97,0,0.0,0.0,264.2,0.9,237,,,,,,,230.0,1.5,50.02,2.2,279,345,5,0,,,,,,,,,,,,,,,267,345,5,0,,,0,,,0,,,233.7,0.0,50.02,,,,,0,,,0,,,425.8,0.0,38.4,44.1,52.2,120.0,0,0,89,,,0.5,,
1775001650,1,53.3,1.6,97,0,0.0,0.0,264.1,1.0,255,,,,,,,229.9,1.5,50.02,2.1,274,345,5,0,,,,,,,,,,,,,,,262,345,5,0,,,0,,,0,,,233.7,0.0,50.02,,,,,0,,,0,,,425.8,0.0,38.4,44.1,52.2,120.0,0,0,88,,,0.5,,
1775001663,1,53.3,1.7,97,0,0.0,0.0,256.9,1.0,259,,,,,,,229.9,1.5,50.01,2.1,282,345,5,0,,,,,,,,,,,,,,,279,345,5,0,,,0,,,0,,,233.7,0.0,50.02,,,,,0,,,0,,,425.9,0.0,38.4,44.1,52.2,120.0,0,0,89,,,0.5,,
1775001676,1,53.3,1.7,97,0,0.0,0.0,267.4,1.0,258,,,,,,,230.0,1.5,50.01,2.1,269,345,5,0,,,,,,,,,,,,,,,268,345,5,0,,,0,,,0,,,233.4,0.0,50.01,,,,,0,,,0,,,425.7,0.0,38.4,44.1,52.2,120.0,0,0,88,,,0.5,,
1775001688,1,53.3,1.5,97,0,0.0,0.0,257.7,1.0,260,,,,,,,230.0,1.5,50.01,2.1,281,345,5,0,,,,,,,,,,,,,,,270,322,5,0,,,0,,,0,,,233.3,0.0,50.01,,,,,0,,,0,,,426.1,0.0,38.4,44.1,52.2,120.0,0,0,88,,,0.5,,
1775001701,1,53.3,1.5,97,0,0.0,0.0,254.8,1.0,261,,,,,,,230.0,1.5,50.01,2.1,284,345,5,0,,,,,,,,,,,,,,,287,344,5,0,,,0,,,0,,,233.3,0.0,50.01,,,,,0,,,0,,,425.9,0.0,38.4,44.1,52.2,120.0,0,0,88,,,0.5,,
1775001714,1,53.3,1.6,97,0,0.0,0.0,257.5,1.0,261,,,,,,,229.9,1.5,50.01,2.2,271,345,5,0,,,,,,,,,,,,,,,271,345,5,0,,,0,,,0,,,233.1,0.0,50.0,,,,,0,,,0,,,425.8,0.0,38.4,44.1,52.2,120.0,0,0,88,,,0.5,,
1775001728,1,53.3,1.5,97,0,0.0,0.0,257.8,1.0,258,,,,,,,230.0,1.5,49.96,2.1,264,345,5,0,,,,,,,,,,,,,,,267,344,5,0,,,0,,,0,,,232.9,0.0,49.95,,,,,0,,,0,,,425.9,0.0,38.4,44.1,52.2,120.0,0,0,89,,,0.5,,
1775001740,1,53.3,2.0,97,0,0.0,0.0,250.8,1.0,245,,,,,,,230.0,1.5,49.95,2.2,290,344,5,0,,,,,,,,,,,,,,,276,345,5,0,,,0,,,0,,,233.4,0.0,49.95,,,,,0,,,0,,,425.9,0.0,38.4,44.1,52.2,120.0,0,0,88,,,0.5,,
1775001753,1,53.3,1.7,97,0,0.0,0.0,257.9,1.0,265,,,,,,,229.9,1.4,49.97,2.1,275,345,5,0,,,,,,,,,,,,,,,282,344,5,0,,,0,,,0,,,233.5,0.0,49.99,,,,,0,,,0,,,425.8,0.0,38.4,44.1,52.2,120.0,0,0,88,,,0.5,,
1775001766,1,53.3,1.7,97,0,0.0,0.0,257.3,1.0,246,,,,,,,230.0,1.5,50.02,2.1,271,345,5,0,,,,,,,,,,,,,,,276,345,5,0,,,0,,,0,,,233.1,0.0,50.02,,,,,0,,,0,,,425.9,0.0,38.4,44.1,52.2,120.0,0,0,87,,,0.5,,
